Title,Company_Name,Salary,DateSub,Deadline,Place,Way,Level,Description,Requirement,Rights,Headquater,Srcpic,Company_Place,Company_Scale
Trưởng Bộ Phận Housekeeping [Tại Hải Phòng],Công Ty Cổ Phần Vinhomes,25 - 45 triệu,05/05/2024,18/05/2024,Hải Phòng,1,3 năm,"- Xây dựng, triển khai, kiểm soát hiệu quả, đánh giá chất lượng, dự kiến rủi ro phát sinh trong công việc của Bộ phận phụ trách; - Xây dựng, kiểm soát thực hiện ngân sách hoạt động của BP - Kiểm tra bố trí nhân sự đảm bảo vận hành; - Phối hợp với các Bộ phận theo chuyên môn được phân công kiểm soát các khu vực vận hành, cơ sở vật chất, tình trạng hạ tầng để đảm bảo tiêu chuẩn dịch vụ, ANAT PCCN toàn khu đô thị; - Kiểm soát tiếp nhận và xử lý các phản hồi/ phàn nàn của khách hàng qua các kênh - Kiểm soát quản lý tài sản, dữ liệu chấm công tại Bộ phận; - Tổ chức tự thanh tra định kỳ tại Bộ phận; - Kiểm soát các dịch vụ và chất lượng do nhà thầu cung cấp;","- Tốt nghiệp Cao đẳng trở lên các ngành nghề có liên quan; - Tối thiểu 03 năm kinh nghiệm trong lĩnh vực quản lý Bộ phận/ nhà hàng, khách sạn, dịch vụ, chăm sóc khách hàng…v…v.. - Ưu tiên Ứng viên có kinh nghiệm lập báo cáo kế hoạch tài chính, ngân sách, biết sử dụng phần mềm SAP; - Nhiệt tình, chủ động, linh hoạt, có khả năng chịu áp lực công việc cao - Kỹ năng giao tiếp, đàm phán và xử lý xung đột tốt - Khả năng quản lý thời gian và sắp xếp công việc hiệu quả","- Thu nhập hấp dẫn - Được hưởng chế độ và chính sách đãi ngộ của Công ty (phép năm, lễ tết, sinh nhật Tập Đoàn, lương tháng 13, hiếu hỉ....) - Ký HĐLĐ không xác định thời hạn sau 02 tháng thử việc, tham gia đầy đủ chế độ bảo hiểm, mua gói bảo hiểm sức khỏe Vingroup - Khám sức khỏe định kỳ hằng năm tại Vinmec - Được đào tạo và nâng cao nghiệp vụ, cơ hội thăng tiến rộng mở - Đặc biệt ưu đãi khi sử dụng các hệ thống dịch vụ cao cấp của Tập đoàn Vingroup như: Vinmec, Vinschool, Vinpearl, Vinfast...;",Tòa nhà Symphony - Đường Chu Huy Mân - Long Biên - Hà Nội,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/e156f68da2d12b1485d4579e86d10f10_4876858_vieclam24h_1581913790.png,Tòa nhà Symphony - Đường Chu Huy Mân - Long Biên - Hà Nội,Trên 300 người
Nhân Viên Kinh Doanh Thiết Bị Y Tế,"Công Ty CP Tb Nha Khoa Thông Minh Việt Nam - Smartdental,. Jsc",30 - 50 triệu,03/05/2024,31/05/2024,"Hà Nội , TP.HCM",15,Chưa có kinh nghiệm,"- Giới thiệu về sản phẩm và thương hiệu của Công ty. - Tìm kiếm khách hàng mới, chăm sóc khách hàng cũ do Công ty giao - Tư vấn sản phẩm, giải đáp các vấn đề về chất lượng, giá cả dịch vụ cho khách hàng. - Tiếp nhận thông tin, yêu cầu của khách hàng. - Làm đầu mối tiếp nhận thông tin và phối hợp để giải quyết các vấn đề phát sinh liên quan đến nội dung hợp đồng. - Theo dõi, kiểm tra tiến độ giao hàng. - Đảm bảo doanh số theo quy định của Công ty (theo thoả thuận) - Địa chỉ làm việc: + Số 386 Trịnh Đình Cửu, Phường Định Công, Quận Hoàng Mai, TP. Hà Nội + Số 98C Bạch Đằng, Phường 2, Tân Bình, TP. Hồ Chí Minh","- Có khả năng giao tiếp tốt - Nam, Nữ không yêu cầu kinh nghiệm - Có khả năng làm việc độc lập và theo nhóm,không có kinh nghiệm sẽ được đào tạo - Các bạn trẻ nhiệt huyết, ham thích làm kinh doanh. - Có tinh thần trách nhiệm cao, ham học hỏi, - Thời gian làm việc: làm giờ hành chính, làm từ thứ 2 đến trưa thứ 7 (được nghỉ chiều thứ 7 và cả ngày chủ nhật).","- Lương cứng: 7-10 triệu + Thưởng nóng + Thưởng doanh số, Thưởng lương T13 …. - Thu nhập không giới hạn, tùy theo khả năng lên tới 30 - 50 triệu - Chế độ thưởng, nhân viên xuất sắc theo năm - Môi trường làm việc chuyên nghiệp, năng động và phát triển con người. - Chế độ BHXH, BHYT, BHTN theo luật định. Được hưởng nhiều quyền lợi (hiếu hỷ, sinh nhật, du lịch ….) theo chính sách phúc lợi của Công Ty","Văn phòng miền bắc: Tầng 1,Lô Sh04, sảnh B Toà nhà AZ Sky khu đô thị định công, Hoàng Mai, Hà Nội.",https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2022/03/18/images/164759065689.png,"Văn phòng miền bắc: Tầng 1,Lô Sh04, sảnh B Toà nhà AZ Sky khu đô thị định công, Hoàng Mai, Hà Nội.",150 - 300 người
Nhân Viên Kế Toán,Công Ty TNHH Đầu Tư Và Thương Mại In Việt Tiến,10 - 15 triệu,17/04/2024,19/05/2024,Hà Nội,10,,"+ Quản lý mail tổng của công ty, theo dõi hàng nhập và hàng xuất trong ngày + Hạch toán công nợ hàng tuần với 3 nhà phân phối + Quản lý tiền hàng được nhân viên giao hàng đóng trong ngày + Hỗ trợ NVKD theo dõi công nợ (các tỉnh phía Bắc) + Đối chiếu công nợ hàng tháng với 2 nhà cung cấp nguyên liệu cho Công ty Việt Tiến + Viết hóa đơn VAT, cân đối đầu ra đầu vào + Một số công việc văn phòng (phần này chiếm 20%) + Thời gian làm việc: - Sáng: 8h00 - 11h45, Chiều: 14h - 17h45 - Thứ 2 - Thứ 7 hàng tuần, nghỉ chủ nhật - 1 tháng được nghỉ thêm 4 ngày, trong đó có 2 ngày tính lương","+ Không yêu cầu kinh nghiệm, chấp nhận nhân viên mới ra trường năm cuối hoặc thực tập + Công ty có thể đào tạo được nhân viên trong 7 ngày sẽ làm được hết công việc trên nếu nhân viên đó được Công ty nhận việc sau buổi phỏng vấn + Ứng viên đang học Đại học hoặc đã tốt nghiệp Đại học","+ Hưởng lương cơ bản thấp nhất: 10.000.000đ/tháng áp dụng từ tháng đầu tiên đi làm + Thưởng cuối tháng: 1 lần/ tháng, số tiền thưởng 500k - 2.000k + Hỗ trợ cơm trưa tại văn phòng: 1.000.000/ tháng + Du lịch 1 năm 2 lần + Mức lương tăng trưởng theo thời gian, chậm nhất: 6 tháng + Không có hình thức phạt tiền áp dụng với nhân viên","Số 30 ngõ 168 Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/59bb939639f93_1505465238.jpg,"Số 30 ngõ 168 Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",10 - 150 người
Sales Executive / Nhân Viên Kinh Doanh,Công Ty TNHH Akati Wood (Việt Nam),8 - 15 triệu,29/04/2024,31/05/2024,Bình Dương,2,1 năm,"To market and sell company product in Vietnam./ Tiếp thị và bán sản phẩm công ty tại Việt Nam To achieve growth and hit sales target assigned./ Đạt được mục tiêu tăng trưởng và đạt mục tiêu doanh số được giao To generate business leads for building material and wood panel product in Vietnam and following up closely on any sales opportunity./ Tạo đầu mối kinh doanh cho các sản phẩm vật liệu xây dựng và các sản phẩm gỗ khác tại Việt Nam & theo dõi chặt chẽ bất kỳ cơ hội bán hàng To follow and monitor customer's aging payment: ensure prompt collection, managing the credit term and credit limit of customers./ Theo dõi và giám sát quá trình thanh toán của khách hàng: đảm bảo thu hồi nhanh chóng, quán lý thời hạn thanh toán và hạn mức thanh toán của khách hàng To provide regularly timely sales activities report and perform sales presentation periodically./ Cung cấp báo cáo hoạt động bán hàng thường xuyên, kịp thời và thuyết trình bán hàng định kỳ To maintain the database of customers./ Duy trì cơ sở dữ liệu khách hàng To involve in marketing campaign e.g. exhibition, trade fair./ Tham gia chiến dịch tiếp thị như: triển lãm, hội chợ thương mại To conduct market research, competitor analysis, new product or other to Management./ Thực hiện nghiên cứu thị trường, phân tích đối thủ cạnh tranh, sản phẩm mới hoặc sản phẩm khác cho Ban giám đốc Any other matters requested by the Management./ Bất kỳ vấn đề nào khác do Ban giám đốc yêu cầu","Bachelor degree./ Tốt nghiệp đại học At least 1 year experience in Sales and Marketing./ Có ít nhất 1 năm kinh nghiệm trong lĩnh vực bán hàng và tiếp thị Fresh graduates are considered for position - Sales Representative./ Sinh viên mới tốt nghiệp được xem xét cho vị trí Đại diện bán hàng Outgoing personally, strong interpersonal skills, with a high level of ability to communicate clearly and concisely./ Tính cách hướng ngoại, kỹ năng xã giao tốt, có khả năng giao tiếp rỏ ràng và ngắn độ ở mức độ cao Ability to work independently with minimum supervision. / Khả năng làm việc độc lập với sự giám sát tối thiểu Open for female and male/ Tuyển dụng cho cả nam & nữ Proficency in Chinese language would be an added advantage/ Thành thạo tiếng Hoa là một lợi thế.","Basic salary/ Lương cơ bản : 8mil – 11mil Allowance for petrol, meal, mobile phone bill, …/ Phụ cấp tiền xăng, tiền cơm, bill điện thoại,.. Bonus & attractive commission/ Thưởng & hoa hồng hấp dẫn Social insurance, jobless insurance & health insurance as per government stipulation./ BHXH, BHTN & BHYT theo luật","3 Đường số 6 Vsip II, Hòa Phú, Thủ Dầu Một, Bình Dương",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/02/10/images/167599882463.png,"3 Đường số 6 Vsip II, Hòa Phú, Thủ Dầu Một, Bình Dương",10 - 150 người
Nhân Viên Kinh Doanh,Công Ty TNHH Ntpm Việt Nam,7 - 15 triệu,08/05/2024,31/05/2024,TP.HCM,10,,"Đảm bảo đáp ứng được nhu cầu về doanh số tại từng khu vực mà mình quản lý. Thường xuyên liên hệ với các đại lý/ nhà phân phối/ các siêu thị để nắm bắt thông tin thị trường. Hỗ trợ khách hàng trưng bày mẫu mã, kệ trưng bày... theo quy định nhận diện thương hiệu của Công ty (sản phẩm giấy Premier dễ bán) Thực hiện và theo dõi các chương trình chăm sóc khách hàng, các chương trình hậu mãi, khuyến mãi hoặc các chương trình khác của Công ty. Nắm bắt các thông tin, các hoạt động kinh doanh của đối thủ cạnh tranh. Xử lý và giải quyết mọi vấn đề phát sinh với khách hàng. Theo dõi và giám sát chặt chẽ các khoản phải thu từ khách hàng do mình phụ trách. Đảm bảo hàng tồn kho luôn được giữ 30-35% tại kho của nhà phân phối. Thăm dò ý kiến khách hàng nhằm đo lường sự hài lòng của khách hàng qua từng giai đoạn, cũng như nhằm phát triển thêm thị trường và thương hiệu sản phẩm. Tổng hợp các biên bản khiếu nại và gửi về nhóm trợ lý kinh doanh/ marketing để tiến hành các hành động khắc phục tiếp theo. Địa điểm phỏng vấn và làm việc; SỐ 210, MIẾU BÌNH ĐÔNG, BÌNH HƯNG HÒA A, BÌNH TÂN, TP. HỒ CHÍNH MINH","Ưu tiên có kinh nghiệm trong ngành giấy vệ sinh. Có khả năng Giải quyết vấn đề, sắp xếp công việc. Chăm chỉ Ưu tiên những người thành thạo ở khu vực HCM được phân công.","Lương cứng 6tr - 8tr + hoa hồng hàng tháng (7tr đến 15tr). • Tham gia đầy đủ các chế độ BHXH,BHTN,... • Được có cơ hội đào tạo, phát triển công việc. • Đánh giá tăng lương định kỳ hằng năm. • Cung cấp trang thiết bị đầy đủ để phục vụ cho công việc. • Thưởng thành tích, thưởng lễ tết, lương tháng 13, thưởng thâm niên. • Môi trường làm việc chuyên nghiệp, có lộ trình thăng tiến rõ ràng. • Tham gia Company Trip hàng năm; Tiệc Tất Niên.... • Nghỉ ngày phép, lễ, tết theo quy định của Nhà nước.""","SỐ 210, MIẾU BÌNH ĐÔNG, BÌNH HƯNG HÒA A, BÌNH TÂN, TPHCM",https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/59fa97f641b76_1509595126.png,"SỐ 210, MIẾU BÌNH ĐÔNG, BÌNH HƯNG HÒA A, BÌNH TÂN, TPHCM",Trên 300 người
Nhân Viên Tư Vấn Sữa Abbott Hoa Kỳ Thu Nhập Từ 10 Triệu,Công Ty TNHH BPO Niềm Tin Việt,10 - 25 triệu,26/04/2024,31/05/2024,TP.HCM,20,Dưới 1 năm,"Gọi ra theo data có sẵn do công ty cung cấp Data thực 100% và khách hàng đã có nhu cầu quan tâm sản phẩm Chăm sóc và giải đáp thắc mắc cho KH về sản phẩm sữa (Ensure, Pediasure, similac...) Tìm hiểu thêm thông tin và nhu cầu của KH để tăng doanh số bán hàng Làm tại văn phòng, không đi thị trường, không tìm kiếm khách hàng Đảm bảo chỉ tiêu theo ngày/tuần/tháng Thời gian làm việc 08h00 - 18h00 (nghỉ trưa 12h- 13h)","Tốt nghiệp từ THPT Có kinh nghiệm liên quan đến bán hàng, tư vấn KH là lợi thế Nhanh nhẹn, giao tiếp tốt, có kỷ luật và có khả năng chịu được áp lực công việc Ưu tiên ứng viên có kinh nghiệm tư vấn, ngành dinh dưỡng","Lương cứng: 7,000,000đ Thưởng hiệu quả công việc lên đến 18,000,000vnđ Full 100% lương và hoa hồng nếu có, tính lương từ ngày training đầu tiên. Tham gia bảo hiểm đầy đủ sau 2 tháng thử việc, khám sức khỏe định kỳ hằng năm, tháng lương 13, có 14 ngày phép/ năm. Tham gia teambuilding, các ngày lễ hiếu hỉ ma chay và phúc lợi khác theo quy định của pháp luật. Được đào tạo về kiến thức sản phẩm, kiến thức về dinh dưỡng, kỹ năng giao tiếp và xử lý khiếu nại. Cung cấp đầy đủ thiết bị công cụ làm việc: điện thoại, máy tính, tai nghe. Có khu vực pantry, đầy đủ tiện ích khác: lò vi sóng, tủ lạnh, quầy nước, cà phê…., văn phòng làm việc hiện đại theo tiêu chuẩn quốc tế.","47 - 49 Trần Văn Ơn, phường Tân Sơn Nhì, quận Tân Phú, tp Hồ Chí Minh",https://cdn1.vieclam24h.vn/images/employer_avatar/2022/11/30/images/166980279786.jpeg,"47 - 49 Trần Văn Ơn, phường Tân Sơn Nhì, quận Tân Phú, tp Hồ Chí Minh",150 - 300 người
"Nhân Viên Kinh Doanh Nguồn Hàng Trung Quốc Cho Shopee, Lazada (Thu Nhập Từ 8 - 35 Triệu",Nguồn Hàng Quảng Châu - Trung Quốc,8 - 35 triệu,04/05/2024,31/05/2024,Hà Nội,10,,"Hỗ trợ khách hàng order hàng hoá trên các trang thương mại điện tử trung quốc ( 1688, Taobao, Tmall...), + Tìm kiếm khách hàng qua các kênh bán hàng (shopee, lazada, tiki...), + Tư vấn khách hàng nhắn tin qua zalo, gọi điện, + Tư vấn tìm kiếm nguồn hàng trên 1688, Taobao, + Hỗ trợ bộ phận CSKH để theo dõi lộ trình đơn hàng về tay khách hàng hoàn thiện,","- Không yêu cầu kinh nghiệm (sẽ được đào tạo khi làm việc), - Không Yêu Cầu Tiếng Trung, - Có đam mê Kinh doanh, kiếm thu nhập, - Có tinh thần cầu tiến, chăm chỉ, - Thích đi buôn,","+ lương cơ bản 5tr và doanh số ( Thu nhập từ 8tr đến 35 triệu) + Làm việc môi trường trẻ trung, học tập hỗ trợ nhau trong công việc, + Tổ chức liên hoan, du lịch theo quỹ, + Trợ cấp tiền điện thoại hàng tháng, + Thời gian làm việc: 8:00 - 17:30 , nghỉ trưa 12:00 , 13:45. (Thứ 2 , sáng Thứ 7),","Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/05/04/d57844118d88b634f291237fed0c00ca_171479168821.jpeg,"Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
"Nhân Viên Quản Lý, Phát Triển Kênh Youtube",Công Ty TNHH CGT Media Group,7 - 15 triệu,27/04/2024,31/05/2024,Hà Nội,20,Chưa có kinh nghiệm,- Phát triển và quản lý kênh Youtube của công ty. - Xây dựng chiến lược nội dung thu hút người xem và tăng lượng subscribe. - Phân tích hiệu quả kênh Youtube và báo cáo kết quả định kỳ. - Thực hiện các công việc khác theo yêu cầu của cấp trên.,"- Thành thạo tin học văn phòng cơ bản - Kỹ năng sử dụng cơ các phần mềm chỉnh sửa video - Có khả năng làm việc độc lập và làm việc nhóm tốt. - Có tinh thần trách nhiệm cao, cẩn thận và tỉ mỉ. - Năng động, sáng tạo và ham học hỏi. - Chưa biết sẽ được đào tạo","- Lương cơ bản: 7 - 15tr + thưởng nóng, thưởng doanh thu theo tăng trưởng của dự án - Được hưởng lương tháng 13. - Được tham gia đóng bảo hiểm xã hội. - Được tham gia du lịch cùng công ty hằng năm. - Môi trường làm việc năng động, sáng tạo. - Có cơ hội phát triến bản thân và học hỏi kinh nghiệm. - Được tham gia vào các dự án sáng tạo và ý nghĩa.","KĐT Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/28/cgt_170909194716.jpg,"KĐT Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",10 - 150 người
Kỹ Thuật Viên Khuôn Tại Hải Phòng,Công Ty Cổ Phần Sản Xuất & Kinh Doanh Vinfast,15 - 20 triệu,26/04/2024,28/05/2024,Hải Phòng,5,2 năm,"Thiết kế khuôn dập chất lượng cao Tính toán kết cấu khuôn - lập bản vẽ chi tiết khuôn theo bản vẽ chế tạo sản phẩm Triển khai cho nhân viên gia công chi tiết khuôn trên máy Tiện, Phay, Mài, Bắn lỗ, Cắt dây - lắp ráp khuôn - Test khuôn - Chỉnh sửa Nắm kỹ thuật công nghệ khuôn dập, chất lượng cao Đưa vào ứng dụng các giải pháp công nghệ để tăng năng suất, sản lượng. Kiểm soát dự án bảo đảm đúng chất lượng đã cam kết Một số công việc khác sẽ trao đổi cụ thể trong buổi phỏng vấn.","Cần có kinh nghiệm tối thiểu 2 ~ 3 năm về ý tưởng thiết kế khuôn Kỹ năng bắt buộc làm việc với phần mềm CATIA để xem và vẽ thiết kế khuôn. Kỹ năng giao tiếp cao và khả năng lập báo cáo tốt bằng excel, PPT và dự án Microsoft. Kinh nghiệm về kỹ năng quản lý dự án, thời gian thực hiện, chi phí, phạm vi và chất lượng. Thái độ tự học và chủ động. Tư duy logic bắt buộc và kỹ năng giải quyết vấn đề sâu sắc.","Tháng lương thứ 13, thưởng KPI, thưởng tết Xe đưa đón, BHXH, BHYT, BHSK toàn diện Cơ hội thăng tiến, học tập, đào tạo","Số 7 Đường Bằng Lăng 1, Khu đô thị sinh thái Vinhomes Rivers - Phường Việt Hưng - Quận Long Biên - Hà Nội.",https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2019/06/06/ti xung.jpg,"Số 7 Đường Bằng Lăng 1, Khu đô thị sinh thái Vinhomes Rivers - Phường Việt Hưng - Quận Long Biên - Hà Nội.",Trên 300 người
Nhân Viên Kinh Doanh Tiếp Thị,Công Ty TNHH Thương Mại Xuất Nhập Khẩu Good Harvest,10 - 25 triệu,07/05/2024,03/06/2024,TP.HCM,Nam,,"-     Tìm kiếm khách hàng qua nhiều kênh khác nhau để xây dựng hệ thống khách hàng. -     Chăm sóc khách hàng, hỗ trợ khách hàng ký kết hợp đồng. -     Quản lý công nợ. -     Triển khai các chương trình tri ân khách hàng. -     Các công việc khác theo yêu cầu của cấp quản lý.",-   Có ít nhất 1 năm kinh nghiệm sale thị trường. -   Có khả năng làm việc độc lập và hoàn thành việc nhóm. -   Biết tiếng Trung hoặc tiếng Anh là một lợi thế. -   Ưu tiên người có kinh nghiệm mảng phụ tùng xe máy -   Độ tuổi: dưới 45 tuổi.,"-  Lương: 10 - 25 triệu -  Hưởng các chế độ BHXH, BHTN, BHYT theo quy định của Công ty -  Thưởng tết và 12 ngày phép năm.",129 Đường số 23 - Phường 11 - Quận 6 - TP Hồ Chí Minh.,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/08/04/Thiết kế chưa có tên (19)_169112312964.png,129 Đường số 23 - Phường 11 - Quận 6 - TP Hồ Chí Minh.,10 - 150 người
